,protein,total_fat,carbohydrates,label,name,food_energy,labels_names
2066,0.649999976,0.330000013,20.45999908,14,"אוכמניות, מבושלות או משומרות, בסירופ כבד",88.0,1.1 דגנים מלאים 1.5 ירקות עמילניים 6.2 מוצרי חלב ממותקים בסוכר
2067,0.400000006,0.129999995,19.75,14,"אוכמניות, קפואות, עם תוספת סוכר",85.0,1.1 דגנים מלאים 1.5 ירקות עמילניים 6.2 מוצרי חלב ממותקים בסוכר
2068,0.419999987,0.639999986,9.470000267,28,"אוכמניות, קפואות, לא ממותקות",51.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2069,0.409999996,0.200000003,41.77999878,21,"אוכמניות, מילוי מוכן לפאי",181.0,1.2 דברי מאפה (לחמים) מדגן מלא
2070,1.440000057,0.389999986,8.100000381,31,"תות עץ, חי",43.0,לא סווג
2071,0.800000012,0.439999998,3.599999905,2,"פטל אדום, מבושל או משומר, ללא תוספת סוכר, במים",35.0,10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2072,1.200000048,0.649999976,5.440000057,16,"פטל אדום, קפוא, ללא תוספת סוכר",52.0,10.2 משקאות ממותקים בתחליפי סוכר 2 קבוצת הירקות 3 קבוצת הפירות
2073,0.699999988,0.159999996,21.76000023,20,"פטל אדום, קפוא, עם סוכר",103.0,1.3 דגנים לא מלאים
2074,0.670000017,0.300000012,5.679999828,16,"תות שדה, חי",32.0,10.2 משקאות ממותקים בתחליפי סוכר 2 קבוצת הירקות 3 קבוצת הפירות
2075,0.639999986,0.280000001,10.39999962,28,"תות שדה, חי, עם סוכר",50.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2076,0.629800022,0.282000005,7.219200134,16,"תות שדה, עם גבעול",30.07999992,10.2 משקאות ממותקים בתחליפי סוכר 2 קבוצת הירקות 3 קבוצת הפירות
2077,0.449999988,0.200000003,3.849999905,16,"תות שדה, מבושל או משומר, ללא תוספת סוכר, במים",21.0,10.2 משקאות ממותקים בתחליפי סוכר 2 קבוצת הירקות 3 קבוצת הפירות
2078,0.560000002,0.25999999,21.82999992,20,"תות שדה, מבושל או משומר, בסירופ",92.0,1.3 דגנים לא מלאים
2079,0.430000007,0.109999999,7.03000021,16,"תות שדה, קפוא, ללא תוספת סוכר",35.0,10.2 משקאות ממותקים בתחליפי סוכר 2 קבוצת הירקות 3 קבוצת הפירות
2080,0.519999981,0.140000001,21.55999947,20,"תות שדה, קפוא, עם סוכר",87.0,1.3 דגנים לא מלאים
2081,0.699999988,0.25999999,11.82999992,28,"פירות חיים, תערובת או קוקטייל, ללא פרי הדר",53.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2082,0.75,0.230000004,11.26000023,28,"פירות חיים, תערובת או קוקטייל, כולל פרי הדר",52.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2083,0.419999987,0.050000001,7.510000229,16,"פירות, קוקטייל, מבושלים או משומרים, ללא תוספת סוכר",32.0,10.2 משקאות ממותקים בתחליפי סוכר 2 קבוצת הירקות 3 קבוצת הפירות
