,protein,total_fat,carbohydrates,alcohol,label,name,food_energy,labels_names
3407,7.800000191,35.0,52.40000153,0.0,25,"חטיף מתוק, שוקולד חרובים, עם אגוזים, תופינית",556.0,דברי מאפה מתוקים
3408,5.300000191,18.60000038,57.45000076,0.0,2,"עוגה, בראוניס שוקולד עשירה, לחמי",419.0,דברי מאפה מלוחים
3409,0.0,0.020140987,42.59999847,0.0,27,"רוטב צ'ילי מתוק, אסם, אוליביה, מזרח מערב",172.0342407,דברי מאפה (לחמים) מדגן לא מלא
3410,10.6,8.6000004,30.8,0.0,9,"פיצה משפחתית מקמח מלא, מעדנות",251.0,"דגנים מלאים
 דברי מאפה (לחמים) מדגן מלא
 דגנים לא מלאים
 קבוצת קטניות"
3411,7.2,29.0,59.0,0.0,25,"חטיף מתוק, מקופלת,מריר/חלב/לבן, מגדים",526.0,דברי מאפה מתוקים
3412,3.599999905,3.900000095,18.10000038,0.0,9,"מעדן חלב, JOY, שוקולד/וניל, 3.9% שומן, שטראוס",121.5,"דגנים מלאים
 דברי מאפה (לחמים) מדגן מלא
 דגנים לא מלאים
 קבוצת קטניות"
3413,5.0,20.0,48.29999924,0.0,2,"עוגת וניל, מוכנה לאכילה,תערובת, פילסברי",373.0,דברי מאפה מלוחים
3414,18.79999924,24.29999924,50.29999924,0.0,2,"תמ""ל, סימילאק טופ 2/טופ 3, אבקה, כולל מהדרין",495.0,דברי מאפה מלוחים
3415,0.349999994,0.0,11.0,0.0,19,"משקה אנרגיה, טעמי פירות",45.0,"ירקות עמילניים
 משקאות ממותקים בסוכר
 משקאות אורז/ שיבולת שועל
 קבוצת הירקות
 קבוצת הפירות
 מוצרי חלב ממותקים בסוכר"
3416,0.400000006,1.600000024,3.099999905,0.0,29,"משקה אגוזי לוז, אלפרו",29.0,"משקאות ממותקים בתחליפי סוכר
 משקאות אלכוהוליים שמכילים פחמימות
 מוצרי חלב לא ממותקים
 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט
 קבוצת תחליפי חלב על בסיס קטניות- מוצרי סויה
 משקה אנרגיה"
3417,0.5,1.100000024,3.0,0.0,29,"משקה שקדים, אלפרו",24.0,"משקאות ממותקים בתחליפי סוכר
 משקאות אלכוהוליים שמכילים פחמימות
 מוצרי חלב לא ממותקים
 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט
 קבוצת תחליפי חלב על בסיס קטניות- מוצרי סויה
 משקה אנרגיה"
3418,7.300000191,9.550000191,46.34000015,0.0,2,"וופל, Waffle, (בלגי) ללא תוספות",310.0,דברי מאפה מלוחים
3419,5.760000229,0.920000017,28.87999916,0.0,9,"אטריות/פסטה, חיטה, מבושלות, עם מלח, ללא תוספת שמן בבישול",157.0,"דגנים מלאים
 דברי מאפה (לחמים) מדגן מלא
 דגנים לא מלאים
 קבוצת קטניות"
3420,5.300000191,0.540000021,21.87999916,0.0,9,"ספגטי, מחיטה מלאה, מבושלות, ללא תוספת שומן בבישול",123.0,"דגנים מלאים
 דברי מאפה (לחמים) מדגן מלא
 דגנים לא מלאים
 קבוצת קטניות"
3421,2.660000086,0.280000001,27.5,0.0,9,"אורז לבן, מבושל, עם מלח, ללא תוספת שומן בבישול",129.0,"דגנים מלאים
 דברי מאפה (לחמים) מדגן מלא
 דגנים לא מלאים
 קבוצת קטניות"
3422,7.900000095,7.099999905,65.0,0.0,28,"דגני בוקר, POST Great Grains, Raisin, Date and Pecan",378.0,מידגנים (Cereals)
3423,6.75,2.049999952,84.65000153,0.0,17,"דגני בוקר, רייס קריספיס",381.0,לא סווג
3424,0.419999987,0.639999986,9.470000267,0.0,19,"פירות יער, קפואים",51.0,"ירקות עמילניים
 משקאות ממותקים בסוכר
 משקאות אורז/ שיבולת שועל
 קבוצת הירקות
 קבוצת הפירות
 מוצרי חלב ממותקים בסוכר"
3425,0.419999987,0.639999986,9.470000267,0.0,19,"אוכמניות, קפואות, ממותקות/ לא ממותקות",51.0,"ירקות עמילניים
 משקאות ממותקים בסוכר
 משקאות אורז/ שיבולת שועל
 קבוצת הירקות
 קבוצת הפירות
 מוצרי חלב ממותקים בסוכר"
3426,0.529999971,0.119999997,13.81999969,0.0,19,מיץ פסיפלורה,56.0,"ירקות עמילניים
 משקאות ממותקים בסוכר
 משקאות אורז/ שיבולת שועל
 קבוצת הירקות
 קבוצת הפירות
 מוצרי חלב ממותקים בסוכר"
3427,1.870000005,0.079999998,2.00999999,0.0,29,"מנגולד, מבושל, עם מלח, ללא תוספת שומן בבישול",20.0,"משקאות ממותקים בתחליפי סוכר
 משקאות אלכוהוליים שמכילים פחמימות
 מוצרי חלב לא ממותקים
 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט
 קבוצת תחליפי חלב על בסיס קטניות- מוצרי סויה
 משקה אנרגיה"
3428,1.889999986,0.400000006,3.589999914,0.0,29,"כרוב עלים, קייל ,KALE,  מבושל, ללא תוספת שומן, עם מלח",28.0,"משקאות ממותקים בתחליפי סוכר
 משקאות אלכוהוליים שמכילים פחמימות
 מוצרי חלב לא ממותקים
 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט
 קבוצת תחליפי חלב על בסיס קטניות- מוצרי סויה
 משקה אנרגיה"
3429,10.4,6.2,39.5,0.0,27,"לחם דגנים, ברמן, ליבו",223.0,דברי מאפה (לחמים) מדגן לא מלא
3430,7.900000095,2.5,31.10000038,0.0,9,"לחם, חלה קלה, ברמן (ודש)",178.0,"דגנים מלאים
 דברי מאפה (לחמים) מדגן מלא
 דגנים לא מלאים
 קבוצת קטניות"
3431,9.100000381,4.199999809,50.20000076,0.0,27,"לחמניה באניס, מועשר, ודש",275.0,דברי מאפה (לחמים) מדגן לא מלא
